,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
94,orca-2-7b,orca-2,7.0,2.0,84.0,0.22,0.45,0.01,0.23,0.26,0.5
95,orca_mini_v3_13b,orca_mini_v3_,13.0,2.0,156.0,0.29,0.47,0.02,0.23,0.27,0.46
96,orca_mini_v3_70b,orca_mini_v3_,70.0,2.0,840.0,0.4,0.59,0.04,0.38,0.32,0.51
97,orca_mini_v3_7b,orca_mini_v3_,7.0,2.0,84.0,0.28,0.41,0.0,0.21,0.25,0.5
98,orca_mini_v7_72b,orca_mini_v7_,72.0,7.0,3024.0,0.59,0.68,0.26,0.56,0.39,0.51
99,orca_mini_v7_7b,orca_mini_v7_,7.0,7.0,294.0,0.44,0.53,0.03,0.42,0.3,0.44
103,pythia-12b,pythia,12.0,0.25,18.0,0.25,0.32,0.01,0.11,0.25,0.36
104,pythia-160m,pythia,0.16,0.25,0.24,0.18,0.3,0.0,0.11,0.26,0.42
106,pythia-2.8b,pythia,2.8,0.25,4.199999999999999,0.22,0.32,0.01,0.11,0.25,0.35
107,pythia-410m,pythia,0.41,0.25,0.615,0.22,0.3,0.0,0.11,0.26,0.36
108,pythia-6.9b,pythia,6.9,0.25,10.35,0.23,0.32,0.01,0.11,0.25,0.36
113,qwen1.5-0.5b,qwen1.5,0.5,2.4,7.199999999999999,0.17,0.32,0.0,0.13,0.25,0.36
114,qwen1.5-0.5b-chat,qwen1.5-chat,0.5,2.4,7.199999999999999,0.18,0.32,0.0,0.12,0.27,0.38
115,qwen1.5-1.8b,qwen1.5,1.8,2.4,25.92,0.22,0.35,0.02,0.19,0.31,0.36
116,qwen1.5-1.8b-chat,qwen1.5-chat,1.8,2.4,25.92,0.2,0.33,0.0,0.18,0.3,0.43
119,qwen1.5-14b,qwen1.5,14.0,4.0,336.0,0.29,0.51,0.16,0.36,0.29,0.42
120,qwen1.5-14b-chat,qwen1.5-chat,14.0,4.0,336.0,0.48,0.52,0.0,0.36,0.27,0.44
121,qwen1.5-32b,qwen1.5,32.0,4.0,768.0,0.33,0.57,0.27,0.45,0.33,0.43
122,qwen1.5-32b-chat,qwen1.5-chat,32.0,4.0,768.0,0.55,0.61,0.07,0.45,0.31,0.42
123,qwen1.5-4b,qwen1.5,4.0,2.4,57.6,0.24,0.41,0.02,0.25,0.28,0.36
124,qwen1.5-4b-chat,qwen1.5-chat,4.0,2.4,57.6,0.32,0.4,0.01,0.24,0.27,0.4
127,qwen1.5-7b,qwen1.5,7.0,4.0,168.0,0.27,0.46,0.04,0.29,0.3,0.41
128,qwen1.5-7b-chat,qwen1.5-chat,7.0,4.0,168.0,0.44,0.45,0.0,0.3,0.3,0.38
129,qwen2-0.5b,qwen2,0.5,12.0,36.0,0.19,0.33,0.03,0.17,0.26,0.38
130,qwen2-0.5b-instruct,qwen2-instruct,0.5,12.0,36.0,0.22,0.32,0.02,0.15,0.25,0.34
131,qwen2-1.5b,qwen2,1.5,7.0,63.0,0.21,0.36,0.06,0.26,0.26,0.37
132,qwen2-1.5b-instruct,qwen2-instruct,1.5,7.0,63.0,0.34,0.39,0.06,0.25,0.26,0.43
133,qwen2-72b,qwen2,72.0,7.0,3024.0,0.38,0.66,0.29,0.57,0.39,0.47
134,qwen2-72b-instruct,qwen2-instruct,72.0,7.0,3024.0,0.8,0.7,0.35,0.54,0.37,0.46
135,qwen2-7b,qwen2,7.0,7.0,294.0,0.31,0.53,0.19,0.42,0.3,0.44
136,qwen2-7b-instruct,qwen2-instruct,7.0,7.0,294.0,0.57,0.55,0.09,0.38,0.3,0.39
137,recurrentgemma-2b,recurrentgemma,2.0,2.0,24.0,0.3,0.32,0.02,0.12,0.25,0.34
138,recurrentgemma-2b-it,recurrentgemma-it,2.0,2.0,24.0,0.29,0.33,0.02,0.14,0.26,0.34
149,sauerkrautlm-gemma-2b,sauerkrautlm-gemma,2.0,6.0,72.0,0.25,0.34,0.02,0.15,0.26,0.37
150,sauerkrautlm-gemma-7b,sauerkrautlm-gemma,7.0,6.0,252.0,0.34,0.42,0.05,0.3,0.29,0.36
151,smollm-1.7b,smollm,1.7,1.0,10.2,0.24,0.32,0.01,0.11,0.24,0.34
152,smollm-1.7b-instruct,smollm-instruct,1.7,1.0,10.2,0.23,0.29,0.0,0.12,0.26,0.35
