,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
124,qwen1.5-4b-chat,qwen1.5-chat,4.0,2.4,57.6,0.4326,0.6973,0.5555,0.4478999999999999,0.6496,0.0243,0.32,0.4,0.01,0.24,0.27,0.4
127,qwen1.5-7b,qwen1.5,7.0,4.0,168.0,0.5418088737201365,0.7851025692093209,0.6197002168140558,0.5108227702127015,0.712707182320442,0.535253980288097,0.27,0.46,0.04,0.29,0.3,0.41
128,qwen1.5-7b-chat,qwen1.5-chat,7.0,4.0,168.0,0.5589,0.7856000000000001,0.617,0.5365,0.6779999999999999,0.1319,0.44,0.45,0.0,0.3,0.3,0.38
129,qwen2-0.5b,qwen2,0.5,12.0,36.0,0.3191,0.4874,0.4517,0.3977,0.5579999999999999,0.3571,0.19,0.33,0.03,0.17,0.26,0.38
131,qwen2-1.5b,qwen2,1.5,7.0,63.0,0.4428,0.6667000000000001,0.5726,0.4592,0.6487999999999999,0.5579999999999999,0.21,0.36,0.06,0.26,0.26,0.37
133,qwen2-72b,qwen2,72.0,7.0,3024.0,0.6877,0.8726999999999999,0.8379000000000001,0.5474,0.8445,0.8529000000000001,0.38,0.66,0.29,0.57,0.39,0.47
135,qwen2-7b,qwen2,7.0,7.0,294.0,0.5972999999999999,0.7981999999999999,0.7045,0.5314,0.7434999999999999,0.7293000000000001,0.31,0.53,0.19,0.42,0.3,0.44
137,recurrentgemma-2b,recurrentgemma,2.0,2.0,24.0,0.4693,0.7248,0.3438,0.3500999999999999,0.6827,0.1568999999999999,0.3,0.32,0.02,0.12,0.25,0.34
138,recurrentgemma-2b-it,recurrentgemma-it,2.0,2.0,24.0,0.3097,0.5626,0.4086999999999999,0.4281,0.6417,0.1008,0.29,0.33,0.02,0.14,0.26,0.34
149,sauerkrautlm-gemma-2b,sauerkrautlm-gemma,2.0,6.0,72.0,0.4871999999999999,0.7141,0.429,0.3577,0.6796,0.2676,0.25,0.34,0.02,0.15,0.26,0.37
150,sauerkrautlm-gemma-7b,sauerkrautlm-gemma,7.0,6.0,252.0,0.5998,0.8190999999999999,0.6376,0.61,0.7664,0.6368,0.34,0.42,0.05,0.3,0.29,0.36
162,starcoder2-15b,starcoder2,15.0,4.3,387.0,0.4735494880546075,0.6409081856203943,0.5134583865906562,0.378734193251474,0.6385161799526441,0.5223654283548143,0.27,0.44,0.05,0.24,0.27,0.35
163,starcoder2-3b,starcoder2,3.0,3.3,59.4,0.3455631399317406,0.4761999601672974,0.3864860206508294,0.4048698237422491,0.5453827940015785,0.1963608794541319,0.2,0.35,0.01,0.16,0.24,0.34
164,starcoder2-7b,starcoder2,7.0,3.7,155.4,0.3831058020477815,0.5191196972714599,0.4121331864479663,0.4199349765667209,0.5919494869771112,0.2509476876421531,0.22,0.37,0.03,0.16,0.25,0.38
175,yi-1.5-34b,yi-1.5,34.0,3.5,714.0,0.6578,0.8611,0.78,0.5384,0.8406,0.7323999999999999,0.28,0.6,0.14,0.47,0.37,0.42
176,yi-1.5-34b-chat,yi-1.5-chat,34.0,3.5,714.0,0.7048000000000001,0.8597,0.7707999999999999,0.6215999999999999,0.8161,0.7165,0.61,0.61,0.23,0.45,0.36,0.43
177,yi-1.5-6b,yi-1.5,6.0,3.5,126.0,0.5725,0.7792,0.6473,0.4402,0.7514,0.5034000000000001,0.26,0.45,0.06,0.31,0.31,0.44
178,yi-1.5-6b-chat,yi-1.5-chat,6.0,3.5,126.0,0.6067,0.7887000000000001,0.6424,0.5257000000000001,0.7356,0.6709999999999999,0.48,0.46,0.13,0.32,0.32,0.44
179,yi-1.5-9b,yi-1.5,9.0,3.5,189.0,0.6186,0.8037000000000001,0.7073,0.4674,0.7798,0.627,0.29,0.51,0.1,0.39,0.38,0.43
180,yi-1.5-9b-chat,yi-1.5-chat,9.0,3.5,189.0,0.6365,0.8094,0.7101000000000001,0.5267000000000001,0.7719,0.7187,0.6,0.56,0.12,0.4,0.33,0.43
181,yi-34b,yi,34.0,3.0,612.0,0.6459044368600683,0.8569010157339175,0.7635156727391681,0.5623083932983032,0.8303078137332282,0.5064442759666414,0.3,0.55,0.04,0.44,0.37,0.41
184,yi-6b,yi,6.0,3.0,108.0,0.5554607508532423,0.7656841266679945,0.6410709139827397,0.4196160749943391,0.7419100236779794,0.1213040181956027,0.29,0.43,0.02,0.3,0.27,0.39
187,yi-9b,yi,9.0,3.8,205.2,0.6118,0.7881999999999999,0.7006,0.4245,0.7751,0.4897999999999999,0.27,0.49,0.04,0.36,0.32,0.41
383,meta-llama-3-8bee,meta-llama-3-ee,8.0,15.0,720.0,0.5861774744027304,0.8147779326827326,0.660129517443997,0.4289641772027726,0.771112865035517,0.39878695981804396,0.19506575885317623,0.24199032699797488,0.04154078549848943,0.2466385933806146,0.08501118568232664,0.062424479166666665
990,llama-3-8b-ita,llama-3-ita,8.0,15.0,720.0,0.7295221843003413,0.8907588129854611,0.6807648287525648,0.657869692446294,0.8018942383583267,0.6580742987111448,0.753029738870641,0.28077745566893725,0.06268882175226587,0.3169141548463357,0.0738255033557047,0.116796875
1518,pantheon-rp-1.0-8b-llama-3,pantheon-rp-1.0-llama-3,8.0,15.0,720.0,0.5989761092150171,0.8388767177853018,0.6643599356524145,0.5382707080772854,0.770323599052881,0.5072024260803639,0.39325212657969744,0.23631914688111305,0.057401812688821746,0.22964686761229317,0.03467561521252797,0.055049479166666665
