,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
27,falcon-180b,falcon,180.0,3.5,3780.0,0.6919795221843004,0.8888667596096396,0.6958661043208202,0.4515695089819848,0.8689818468823993,0.4594389689158453
28,falcon-40b,falcon,40.0,1.0,240.0,0.6194539249146758,0.8528181637124079,0.5697970049781053,0.4171692245008122,0.8129439621152328,0.2145564821834723
30,falcon-7b,falcon,7.0,1.5,63.0,0.4786689419795222,0.7813184624576778,0.2778547015328594,0.34263825539848,0.7237569060773481,0.0462471569370735
31,falcon-7b-instruct,falcon-instruct,7.0,1.5,63.0,0.4582,0.7078,0.2566,0.4407,0.6803,0.0462
32,falcon-rw-1b,falcon-rw,1.0,0.35,2.1,0.3506825938566553,0.6356303525194185,0.2528031884754075,0.3595559898003175,0.6203630623520127,0.0053070507960576
37,gemma-2b,gemma,2.0,6.0,72.0,0.4837883959044368,0.7176857199761004,0.4177314644002597,0.3308443428097746,0.6629834254143646,0.1690674753601213
38,gemma-2b-it,gemma-it,2.0,6.0,72.0,0.4393999999999999,0.627,0.3765,0.4582,0.6093,0.0546
39,gemma-7b,gemma,7.0,6.0,252.0,0.6109215017064846,0.8247361083449513,0.6602745725247715,0.4490548840372056,0.7845303867403315,0.5276724791508719
40,gemma-7b-it,gemma-it,7.0,6.0,252.0,0.5145000000000001,0.7195999999999999,0.5352,0.4729,0.6796,0.2919
41,gpt-j-6b,gpt-j-neo-neox,6.0,0.402,14.472,0.4138225255972696,0.675363473411671,0.2678399935864076,0.359624729495078,0.65982636148382,0.0295678544351781
42,gpt-neo-1.3b,gpt-j-neo-neox,1.3,0.38,2.9640000000000004,0.3122866894197952,0.4846644094801832,0.2482165549913705,0.3962930604436832,0.569060773480663,0.0045489006823351
43,gpt-neo-125m,gpt-j-neo-neox,0.125,0.3,0.2249999999999999,0.2295221843003413,0.3026289583748257,0.2597039137782334,0.455761630633801,0.5177584846093133,0.00303260045489
44,gpt-neo-2.7b,gpt-j-neo-neox,2.7,0.42,6.804000000000001,0.333617747440273,0.5624377614021111,0.2645397884474629,0.3977795990878021,0.6006314127861089,0.0128885519332827
45,gpt-neox-20b,gpt-j-neo-neox,20.0,0.472,56.64,0.4573378839590443,0.73451503684525,0.2500259529523574,0.3161314596733849,0.6890292028413575,0.0545868081880212
48,internlm2-20b,internlm2,20.0,2.15,258.0,0.6296928327645052,0.832105158334993,0.6758066862506965,0.5126520041244282,0.8555643251775849,0.6793025018953753
49,internlm2-7b,internlm2,7.0,2.15,90.3,0.5802047781569966,0.8123879705238001,0.6524284758806714,0.4872683928592292,0.8382004735595896,0.6300227445034117
50,llama-13b,llama,13.0,1.0,78.0,0.5614334470989761,0.8092013543118901,0.4761058830217011,0.3947888264167134,0.7624309392265194,0.0758150113722517
51,llama-2-13b,llama-2,13.0,2.0,156.0,0.5810580204778157,0.809699263095001,0.543378428027997,0.3417240296370838,0.7663772691397001,0.2282031842304776
52,llama-2-13b-chat,llama-2-chat,13.0,2.0,156.0,0.590443686006826,0.8193586934873531,0.5411813543925467,0.4411794590119937,0.745067087608524,0.1523881728582259
53,llama-2-70b,llama-2,70.0,2.0,840.0,0.6732081911262798,0.8733320055765784,0.6983208921288624,0.4492349372188735,0.8374112075769534,0.5405610310841547
54,llama-2-70b-chat,llama-2-chat,70.0,2.0,840.0,0.6459044368600683,0.8587930691097391,0.6345350976408146,0.5280473232260097,0.8050513022888713,0.266868840030326
55,llama-2-7b,llama-2,7.0,2.0,84.0,0.5307167235494881,0.7774347739494125,0.4379609636092418,0.3898020280158031,0.7403314917127072,0.1448066717210007
56,llama-2-7b-chat,llama-2-chat,7.0,2.0,84.0,0.5290102389078498,0.7855008962358097,0.4705941276505219,0.4557037019510113,0.7174427782162589,0.0735405610310841
58,llama-3-sauerkrautlm-8b-instruct,llama-3-sauerkrautlm-instruct,8.0,15.0,720.0,0.7372,0.8941,0.6807,0.6625,0.8003,0.6496999999999999
59,llama-30b,llama,30.0,1.4,252.0,0.6143344709897611,0.8473411670981876,0.5844661283793138,0.4227387599763514,0.8003157063930545,0.1485974222896133
60,llama-65b,llama,65.0,1.4,546.0,0.6348122866894198,0.8608842859988051,0.6393064176395022,0.4342876070583593,0.8255722178374112,0.3722517058377558
61,llama-7b,llama,7.0,1.0,42.0,0.5093856655290102,0.7781318462457678,0.3569330638795117,0.3432793294414406,0.7142857142857143,0.0803639120545868
62,meta-llama-3-70b,meta-llama-3,70.0,15.0,6300.0,0.6877,0.8798048197570205,0.792329338617972,0.4556236820150089,0.8531965272296764,0.7687642153146323
63,meta-llama-3-70b-instruct,meta-llama-3-instruct,70.0,15.0,6300.0,0.7142000000000001,0.8569,0.8006,0.6181,0.8287,0.8543999999999999
64,meta-llama-3-8b,meta-llama-3,8.0,15.0,720.0,0.6024,0.8201553475403306,0.6649495492503578,0.4395226511050948,0.771112865035517,0.4533737680060652
65,meta-llama-3-8b-instruct,meta-llama-3-instruct,8.0,15.0,720.0,0.6075,0.7855,0.6707,0.5165,0.7451000000000001,0.6869
70,mpt-30b,mpt,30.0,1.0,180.0,0.5597269624573379,0.8242381995618403,0.4799818067198363,0.3841558252351552,0.7490134175217048,0.1690674753601213
71,mpt-30b-chat,mpt-chat,30.0,1.0,180.0,0.5870000000000001,0.8254,0.5115999999999999,0.5242,0.753,0.1213
72,mpt-30b-instruct,mpt-instruct,30.0,1.0,180.0,0.5845,0.8431000000000001,0.4915,0.3804999999999999,0.7514,0.1531
73,mpt-7b,mpt,7.0,1.0,42.0,0.4769624573378839,0.7753435570603465,0.2806843136121969,0.3354506043570123,0.7213891081294396,0.0401819560272934
74,mpt-7b-chat,mpt-chat,7.0,1.0,42.0,0.465,0.7551000000000001,0.3762,0.4015999999999999,0.6843,0.0409
75,mpt-7b-instruct,mpt-instruct,7.0,1.0,42.0,0.5034000000000001,0.7791,0.3235,0.3508,0.7048000000000001,0.0281
76,olmo-1b,olmo,1.0,3.0,18.0,0.3456,0.636,0.2631,0.3292,0.6109,0.019
77,olmo-7b,olmo,7.0,2.5,105.0,0.4564999999999999,0.7731,0.2813,0.3593,0.6938,0.0379
78,open_llama_13b,open_llama_,13.0,0.6,46.8,0.5119453924914675,0.7523401712806214,0.4375452833868154,0.3807596729533852,0.7205998421468035,0.0326004548900682
