,model,base_model,ifeval,bbh,math,mmlu-pro,gpqa,musr
541,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.23805502732749104,0.07221132822992211,0.0,0.055389332151300236,0.03467561521252797,0.01698958333333333
542,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.252642987273767,0.06537585206076342,0.0007552870090634441,0.0636081560283688,0.031319910514541416,0.012695312499999995
543,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,0.24572356901909156,0.06566722923568209,0.0,0.06351580969267137,0.030201342281879207,0.012695312499999995
544,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,0.2441998342176536,0.06932125973677143,0.0015105740181268882,0.06296173167848698,0.031319910514541416,0.012695312499999995
545,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,0.2603613966497782,0.06426288909780045,0.0,0.06305407801418438,0.03467561521252797,0.012695312499999995
546,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,0.24899599728719796,0.06477995418867699,0.0007552870090634441,0.06323877068557918,0.027964205816554788,0.011067708333333329
547,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,0.2603613966497782,0.0625191698749515,0.0007552870090634441,0.06286938534278959,0.03243847874720355,0.013734374999999997
548,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,0.2550410688085391,0.06714916509982989,0.0,0.06342346335697398,0.026845637583892648,0.01595052083333333
549,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,0.24779695651981185,0.06875548169039306,0.0007552870090634441,0.06517804373522457,0.02237136465324381,0.014322916666666661
550,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,Qwen/Qwen2.5-0.5B,0.24747226248576,0.0708976945115946,0.0,0.06176122931442081,0.027964205816554788,0.014322916666666661
551,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam,Qwen/Qwen2.5-0.5B,0.25901275282916,0.06706365162503357,0.0,0.06508569739952717,0.030201342281879207,0.011067708333333329
552,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,0.23233464984020177,0.06388945444235533,0.0007552870090634441,0.06083776595744679,0.043624161073825496,0.010479166666666664
553,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,0.23151017079127825,0.07489152117467993,0.0,0.05788268321513002,0.026845637583892648,0.009890625
554,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,Qwen/Qwen2.5-0.5B,0.22983683293660817,0.0834016877070463,0.0007552870090634441,0.06305407801418438,0.021252796420581685,0.009440104166666663
555,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,0.24687274210206694,0.06567071507446204,0.0,0.063885195035461,0.039149888143176735,0.012695312499999995
556,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.2520434668900739,0.0665904676634733,0.0,0.0639775413711584,0.03355704697986576,0.012695312499999995
557,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,Qwen/Qwen2.5-0.5B,0.2665815591519391,0.06800973005640612,0.0,0.06296173167848698,0.029082774049216997,0.011067708333333329
558,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,0.2499202117049429,0.06560842435908915,0.0007552870090634441,0.06249999999999999,0.020134228187919476,0.014322916666666661
559,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,0.24170201731406002,0.06524571656668755,0.0007552870090634441,0.063885195035461,0.02460850111856823,0.014322916666666661
560,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.2562401095759252,0.06739192109111529,0.0015105740181268882,0.0639775413711584,0.021252796420581685,0.014322916666666661
561,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.24082767058072585,0.06420557197003611,0.0015105740181268882,0.0618535756501182,0.031319910514541416,0.011067708333333329
562,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.24812165055386373,0.066874635150864,0.0007552870090634441,0.06573212174940896,0.03467561521252797,0.011067708333333329
563,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,0.2544914161092568,0.06553899558301252,0.0007552870090634441,0.0623153073286052,0.029082774049216997,0.011067708333333329
564,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.2519935992056632,0.06583344002745696,0.0,0.05972960992907801,0.030201342281879207,0.012695312499999995
565,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,0.23146030310686758,0.06560212045244278,0.0022658610271903325,0.06471631205673758,0.04026845637583895,0.009440104166666663
566,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.25149381419079153,0.0683074782881189,0.0015105740181268882,0.059914302600472806,0.029082774049216997,0.009440104166666663
567,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.24719743613611883,0.06204970976213926,0.0007552870090634441,0.06536273640661937,0.030201342281879207,0.011067708333333329
568,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,0.24599839536873275,0.07019682155967409,0.0,0.059267878250591016,0.039149888143176735,0.009440104166666663
569,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.25236816092412573,0.07060401110215778,0.0007552870090634441,0.0589908392434988,0.03691275167785232,0.014322916666666661
570,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,0.22646466929968043,0.06715595621810369,0.0015105740181268882,0.06314642434988178,0.031319910514541416,0.012695312499999995
571,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,0.23016152697066009,0.0698474035276211,0.0,0.055574024822695044,0.03579418344519018,0.014322916666666661
572,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.25236816092412573,0.07363649162861492,0.0,0.05788268321513002,0.03691275167785232,0.014322916666666661
573,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,Qwen/Qwen2.5-0.5B,0.2657570801030155,0.06726276300474528,0.0015105740181268882,0.063885195035461,0.015659955257270708,0.011067708333333329
574,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,0.2487211709375568,0.06708541946458949,0.0007552870090634441,0.06610150709219859,0.029082774049216997,0.011067708333333329
575,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,0.2560151509106947,0.06253469424299402,0.0,0.06240765366430259,0.03579418344519018,0.011067708333333329
