,model,base_model,family,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
5405,orcahermes-mistral-70b-miqu,,orcahermes-mistral-miqu,0.7133105802047781,0.8778131846245768,0.7547120309316416,0.6071571475021432,0.845303867403315,0.7323730098559514,,,,,,
5406,valkyrie-v1,,valkyrie-v1,0.6723549488054608,0.8626767576180043,0.6482119928788266,0.603958710710944,0.8145224940805051,0.7134192570128886,,,,,,
5407,titanbagel,,titanbagel,0.6271331058020477,0.8335988846843259,0.6312319126736164,0.5248867733958267,0.7908445146014206,0.4450341167551175,,,,,,
5408,kuno-dogpark-7b,,kuno-dogpark,0.7184300341296929,0.8814977096195977,0.6506824309975471,0.7113693226923901,0.8224151539068666,0.7050796057619408,,,,,,
5409,kuno-dogwalker-7b,,kuno-dogwalker,0.7201365187713311,0.881696873132842,0.6495946976145823,0.7139076598573371,0.8200473559589583,0.711144806671721,,,,,,
5410,kuno-royale-7b,,kuno-royale,0.7175767918088737,0.8819956184027086,0.6512676104035144,0.7111801311531581,0.8232044198895028,0.6990144048521607,,,,,,
5411,kuno-royale-7b,,kuno-royale,0.7175767918088737,0.8819956184027086,0.6512676104035144,0.7111801311531581,0.8232044198895028,0.6990144048521607,,,,,,
5412,kuno-royale-v2-7b,,kuno-royale-v2,0.7201365187713311,0.8814977096195977,0.6507256393110978,0.7109737868681816,0.8224151539068666,0.7020470053070508,,,,,,
5413,kuno-royale-v3-7b,,kuno-royale-v3,0.7175767918088737,0.8822943636725752,0.6505746661997283,0.7112523953784756,0.8232044198895028,0.7081122062168309,,,,,,
5414,cp2024,cp2024,cp2024,,,,,,,0.1658144833486261,0.027391414141414147,0.0,0.01124778368794326,0.007829977628635318,0.004557291666666663
5415,cp2024-instruct,cp2024,cp2024-instruct,,,,,,,0.17061064641817045,0.02481300216779669,0.0,0.01854314420803781,0.01342281879194629,0.031794270833333325
5416,llama-43m-beta,llama-68m,llama-beta,,,,,,,0.19489066787235643,0.024960478068354778,0.0,0.012355939716312053,0.02460850111856823,0.06401041666666668
5417,smallcp2024,smallcp2024,smallcp2024,,,,,,,0.1581958093414363,0.03118177558861132,0.0,0.012632978723404248,0.0,0.005333333333333328
5418,mn-slush,mn-slush (merge),mn-slush,,,,,,,0.4077148632295642,0.33156422079931885,0.12235649546827794,0.27868277186761226,0.09843400447427292,0.08493489583333334
5419,desivomerge0.1,,desivomerge0.1,0.658703071672355,0.8539135630352519,0.6434910511515235,0.5536080256437423,0.7853196527229678,0.5852918877937832,,,,,,
5420,orca-hermes-7b-slerp,,orca-hermes-slerp,0.6407849829351536,0.8443537143995221,0.6355641621258039,0.5284492415147731,0.7790055248618785,0.5549658832448825,,,,,,
5421,croissantcool-v0.2,,croissantcool-v0.2,0.318259385665529,0.545807608046206,0.24542554500197958,0.3934097777852886,0.5643251775848461,0.0,,,,,,
5422,croissantllmbase,,croissantllmbase,0.31569965870307165,0.5403306114319857,0.25073648699198225,0.3748859598930136,0.574585635359116,0.008339651250947688,,,,,,
5423,apricot-wildflower-20,,apricot-wildflower-20,0.5964163822525598,0.8175662218681538,0.6338364895124428,0.4176270318067943,0.7790055248618785,0.33965125094768767,,,,,,
5424,gpt2023,,gpt2023,0.21928327645051193,0.3110934076877116,0.250481042923807,0.40710368604824054,0.5011838989739542,0.003032600454890068,,,,,,
5425,model-a-48.5m,,model-a,0.22184300341296928,0.27853017327225654,0.25078267192871817,0.46752406758744436,0.5169692186266772,0.003032600454890068,,,,,,
5426,nano-mistral,,nano-mistral,0.21672354948805464,0.28520215096594304,0.25156774126697223,0.4741805949532385,0.5240726124704025,0.0,,,,,,
5427,llama-7b-logicot,,llama-logicot,0.47013651877133106,0.7255526787492531,0.38932679622286204,0.4363242258351546,0.675611681136543,0.0,,,,,,
5428,spaetzle-v12-7b,,spaetzle-v12,0.6595563139931742,0.8615813582951604,0.634772765007031,0.578442759364669,0.8003157063930544,0.6269901440485216,,,,,,
5429,spaetzle-v44-7b,,spaetzle-v44,0.6459044368600683,0.8476399123680541,0.6176472119388298,0.5444850538141455,0.7876874506708761,0.5367702805155421,,,,,,
5430,spaetzle-v69-7b,,spaetzle-v69,0.6953924914675766,0.8676558454491137,0.6462912474146134,0.6560847195806554,0.819258089976322,0.6876421531463229,,,,,,
5431,spaetzle-v8-7b,,spaetzle-v8,0.6868600682593856,0.8667596096395142,0.6459672963512216,0.6405116114057202,0.8145224940805051,0.6815769522365429,,,,,,
5432,llama3-8b-spaetzle-v13,,llama3-spaetzle-v13,0.6868600682593856,0.8505277833100976,0.6805876556459167,0.594333889960523,0.7924230465666929,0.6709628506444276,,,,,,
5433,llama3-8b-spaetzle-v20,,llama3-spaetzle-v20,0.7039249146757679,0.8569010157339175,0.6851952842132618,0.6097671035829519,0.7837411207576953,0.6702047005307051,,,,,,
5434,llama3-8b-spaetzle-v33,,llama3-spaetzle-v33,0.6902730375426621,0.8464449312885879,0.6837332293852544,0.5927786362192663,0.7837411207576953,0.6527672479150872,,,,,,
5435,llama3.1-8b-spaetzle-v90,llama3.1-8b-spaetzle-v90 (merge),llama3.1-spaetzle-v90,,,,,,,0.7356192679867197,0.32763665795841057,0.14803625377643506,0.30343158983451535,0.043624161073825496,0.11146354166666664
5436,phi-3-orpo-v9_16,,phi-3-orpo-v9_16,0.6040955631399317,0.7837084246166103,0.652613422620496,0.49764613788257067,0.7024467245461721,0.623199393479909,,,,,,
5437,falcon-7b-fintued-finance-stock-e,,falcon-fintued-finance-stock-e,0.5008532423208191,0.7826130252937662,0.2736277420454805,0.3670071815606708,0.7071823204419888,0.0310841546626232,,,,,,
5438,gemma-7b-finetuning-jcs-ko-ins,,gemma-finetuning-jcs-ko-ins,0.6245733788395904,0.8278231428002389,0.6623306975408102,0.48601382240433894,0.7908445146014206,0.5193328278999242,,,,,,
5439,mistral-7b-finetuning-insurance-16r,,mistral-finetuning-insurance-16r,0.6083617747440273,0.8343955387373033,0.6361305595300866,0.4311486731867926,0.7845303867403315,0.3411675511751327,,,,,,
5440,hua-v0.1,,hua-v0.1,0.4462457337883958,0.6652061342362079,0.44216695649266263,0.43175858802279954,0.6306235201262825,0.20318423047763456,,,,,,
5441,calm2-7b-chat,,calm2-chat,0.40273037542662116,0.68123879705238,0.393943106652339,0.4196186456267839,0.6495659037095501,0.04927975739196361,,,,,,
5442,calm2-7b-chat-dpo-experimental,,calm2-chat-dpo-experimental,0.41040955631399323,0.6899024098785103,0.39821900470493093,0.43126020642044494,0.6566692975532754,0.055344958301743755,,,,,,
5443,calm3-22b-chat,calm3-22b-chat,calm3-chat,,,,,,,0.509131327100981,0.2952088396885831,0.0649546827794562,0.2166260342789598,0.03579418344519018,0.16082031249999995
5444,open-calm-7b,,open-calm,0.20477815699658702,0.30651264688309104,0.2522085651001627,0.44151773071045525,0.48539857932123126,0.002274450341167551,,,,,,
5445,open-calm-large,,open-calm-large,0.20733788395904437,0.29555865365465045,0.25231014138775415,0.46523882518780657,0.5114443567482242,0.000758150113722517,,,,,,
5446,cymist-2-v02-sft,,cymist-2-v02-sft,0.6006825938566553,0.8342959569806812,0.6228835608334302,0.5205884849003225,0.7861089187056038,0.38968915845337376,,,,,,
5447,cymist2-v01-sft,,cymist2-v01-sft,0.47696245733788395,0.7653853813981278,0.5018730726939418,0.47195044052834034,0.7213891081294396,0.16527672479150868,,,,,,
5448,phi-2-ko-v0.1,,phi-2-ko-v0.1,0.30716723549488056,0.37263493328022307,0.2733697047197814,0.43639706533133593,0.5272296764009471,0.01288855193328279,,,,,,
5449,phi-2-upscaled-4b-instruct-v0.1,,phi-2-upscaled-instruct-v0.1,0.2295221843003413,0.286795459071898,0.2680365031579355,0.4092484911285778,0.5059194948697711,0.0075815011372251705,,,,,,
5450,gaja-v1.00,,gaja-v1.00,0.5281569965870307,0.7630950009958177,0.4082682920360126,0.4463856836867432,0.706393054459353,0.009097801364670205,,,,,,
5451,gaja-v2.00,,gaja-v2.00,0.5179180887372014,0.7579167496514638,0.4068844665554976,0.41500345275114237,0.7190213101815311,0.002274450341167551,,,,,,
5452,gaja-v2.00-dpo,,gaja-v2.00-dpo,0.5170648464163823,0.7587134037044413,0.4079071744543228,0.4129256818841227,0.7158642462509865,0.002274450341167551,,,,,,
5453,gaja-vv1,,gaja-vv1,0.515358361774744,0.7549292969527983,0.3994019273808778,0.42317616925273904,0.7198105761641673,0.008339651250947688,,,,,,
5454,oot-v2_lll,,oot-v2_lll,0.6928327645051194,0.8659629555865365,0.6496121640834932,0.6256716337528857,0.8082083662194159,0.7217589082638363,,,,,,
5455,open_llama_3b_600bt_preview,,open_llama_t_preview,0.36860068259385664,0.5995817566221868,0.25973583002236555,0.3280754273698404,0.6369376479873717,0.006065200909780136,,,,,,
5456,gorani-100k-llama2-13b-instruct,,gorani-100k-llama2-instruct,0.28071672354948807,0.2629954192391954,0.25165258550383157,0.48963208282673576,0.49644830307813737,0.0,,,,,,
5457,billie,,billie,0.6723549488054608,0.8632742481577373,0.6471287056655367,0.6130429985741771,0.8153117600631412,0.7278241091736164,,,,,,
5458,buddyglassneversleeps,buddyglassneversleeps (merge),buddyglassneversleeps,,,,,,,0.4239019135892764,0.28477953494418695,0.06419939577039274,0.2724955673758865,0.059284116331096204,0.08608854166666668
5459,buddyglassuncensored2025.2,falcon3-10b-base,buddyglassuncensored2025.2,,,,,,,0.7731131176389758,0.43571245164023314,0.22885196374622357,0.37065972222222227,0.10402684563758392,0.09385416666666671
5460,buddyglass_v0.3_xortron7methedupswitchedup,buddyglass_v0.3_xortron7methedupswitchedup (merge),buddyglass_v0.3_xortronethedupswitchedup,,,,,,,0.4358424535787267,0.31869311081858004,0.12462235649546828,0.2969673463356974,0.06487695749440718,0.09491666666666669
5461,dbrx-base,,dbrx-base,0.6604095563139932,0.8899621589324834,0.7469631070654663,0.5506968114125934,0.7805840568271507,0.6853677028051554,,,,,,
5462,dbrx-instruct,dbrx-instruct,dbrx-instruct,0.6783276450511946,0.8884684325831508,0.7371692500000477,0.6701581542845837,0.8208366219415943,0.6732373009855952,0.5415796752616392,0.3596381960359357,0.06873111782477341,0.29807550236406616,0.12192393736017897,0.1219921875
5463,dolly-v1-6b,dolly-v1-6b,dolly-v1,,,,,,,0.22244311759464885,0.047813091701327,0.015105740181268885,0.029532358156028372,0.019015659955257263,0.08118750000000002
5464,dolly-v2-12b,dolly-v2-12b,dolly-v2,0.42406143344709896,0.7252539334793866,0.2591684565152261,0.3382708132669228,0.6085240726124704,0.012130401819560273,0.23550734273948679,0.06377894137452961,0.01435045317220544,0.014295212765957445,0.0,0.055049479166666686
5465,dolly-v2-3b,dolly-v2-3b,dolly-v2,,,,,,,0.22471597583301198,0.033247689565453875,0.006797583081570997,0.016142139479905428,0.014541387024608499,0.03222656249999999
5466,dolly-v2-7b,dolly-v2-7b,dolly-v2,0.4453924914675768,0.6963752240589524,0.25183937022975866,0.34883072153276456,0.6006314127861089,0.011372251705837756,0.20098560707810834,0.05449892512817211,0.009818731117824775,0.016603871158392434,0.02460850111856823,0.027794270833333332
5467,tinyllama-1.1b-chat-v1.0-intel-dpo,,tinyllama-chat-v1.0-intel-dpo,0.3583617747440273,0.6129257120095598,0.25046814955628266,0.37376752806468966,0.6101026045777427,0.019711902956785442,,,,,,
5468,rhea-72b-v0.2,,rhea-v0.2,0.7755972696245734,0.908384783907588,0.7797760462116252,0.7450059289802828,0.8634569850039463,0.7846853677028052,,,,,,
5469,rhea-72b-v0.3,,rhea-v0.3,0.7679180887372012,0.89982075283808,0.7747063503623689,0.7593481584480776,0.850828729281768,0.7983320697498104,,,,,,
