,model,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
199,AlanRobotics/nanit_v3,0.5989761092150171,0.7450707030472017,0.582528684232695,0.45931676156679574,0.7229676400947119,0.55420773313116
200,AlanRobotics/nanit_v3.2,0.5972696245733788,0.7523401712806214,0.5800119584671846,0.48711538488272693,0.7569060773480661,0.5663381349507203
201,AlanRobotics/nanobot_v1,0.5895904436860068,0.7461661023700458,0.576800076206433,0.47890790174306813,0.7592738752959748,0.5504169825625473
202,AlekseyKorshuk/chatml-pyg-v1,0.3788395904436859,0.6329416450906195,0.3277472094277591,0.4261047240960072,0.6250986582478295,0.05155420773313116
203,AlekseyKorshuk/pygmalion-6b-vicuna-chatml,0.4061433447098976,0.6772555267874926,0.339180559067456,0.42764768101969397,0.6306235201262825,0.04397270659590599
204,AlekseyKorshuk/vic15-exp-syn-fight-cp3838,0.5179180887372014,0.7579167496514638,0.5023284138258881,0.4961319788840521,0.7182320441988951,0.06595905989385899
205,AllyArc/llama_allyarc,0.5435153583617748,0.7824138617805219,0.4828234978127567,0.4796708124775498,0.7229676400947119,0.18043972706595907
206,AlpinDale/pygmalion-instruct,0.5255972696245734,0.7765385381398127,0.3593557800066545,0.421315512702638,0.7205998421468035,0.09855951478392722
207,Alsebay/Kilo-2x8B,0.6100682593856656,0.8186616211909978,0.6415106157720202,0.5271900634505683,0.7363851617995265,0.5200909780136467
208,Alsebay/L3-krai-test,0.6109215017064846,0.7927703644692292,0.6765507935273942,0.5081656284476019,0.7521704814522494,0.7035633055344959
209,Alsebay/L3-krai-test-2,0.6151877133105802,0.793766182035451,0.6761174601972683,0.5022160781324094,0.7529597474348856,0.7005307050796058
210,Alsebay/L3-test-2,0.6143344709897611,0.7929695279824736,0.6772021027528354,0.5037131751805949,0.7608524072612471,0.7065959059893859
211,Alsebay/Lorge-2x7B-UAMM,0.6774744027303754,0.8108942441744672,0.5974594613071005,0.6040887000932484,0.7679558011049724,0.2767247915087187
212,Alsebay/Narumashi-11B,0.6928327645051194,0.8645688109938259,0.6351972706599561,0.5462928175670557,0.8200473559589583,0.002274450341167551
213,Alsebay/Narumashi-11B-v0.9,0.6868600682593856,0.8608842859988051,0.6402233967848897,0.5616878201416843,0.8184688239936859,0.0
214,Alsebay/Narumashi-RT-11B-test,0.6894197952218432,0.8649671380203147,0.6590670476935492,0.6254981918983114,0.824782951854775,0.000758150113722517
215,Alsebay/NarumashiRTS-V1,0.6851535836177475,0.8633738299143597,0.6410831202615629,0.6469586902782922,0.7963693764798737,0.6648976497346475
216,Alsebay/NarumashiRTS-V2,0.6851535836177475,0.8614817765385382,0.6418739068007905,0.6453581106823453,0.7963693764798737,0.6709628506444276
217,Alsebay/new-turn-2,0.6715017064846417,0.8602867954590719,0.6580894759355453,0.599806252145278,0.8295185477505921,0.002274450341167551
218,Alsebay/test-llm,0.6808873720136519,0.8594901414060944,0.6396240977403989,0.6378972712454685,0.8018942383583267,0.6641394996209249
219,AmberYifan/safe-spin-iter1-v2,0.6186006825938567,0.8274248157737503,0.6097337408494914,0.598299955259316,0.7924230465666929,0.265352539802881
220,AmberYifan/test-spin-lora-iter0,0.5895904436860068,0.8169687313284206,0.6019050478400314,0.4166976561245869,0.7608524072612471,0.29946929492039426
221,AmberYifan/test-spin-lora-iter1,0.5921501706484642,0.8166699860585541,0.6005401890212191,0.4194652336187142,0.7608524072612471,0.28658074298711145
222,AmberYifan/test-spin-lora-iter2,0.5708191126279863,0.8064130651264688,0.5997152531182486,0.3970897681975213,0.7719021310181531,0.2850644427596664
223,Amu/dpo-Qwen1.5-0.5B-Chat-alignment-handbook,0.318259385665529,0.4449312885879307,0.33461911109380876,0.42053934925229747,0.5524861878453039,0.06974981046247157
224,Amu/dpo-qlora-Qwen1.5-0.5B-Chat-xtuner,0.2909556313993174,0.4144592710615415,0.3103511254459588,0.40035828907738424,0.5327545382794001,0.02122820318423048
225,Antonio88/TaliML-7B-ITA-V.1.0.FINAL,0.25853242320819114,0.37223660625373434,0.2619765444488703,0.487585070970592,0.5343330702446725,0.0
226,Antonio88/TaliML-7B-V.1-ENG,0.5998293515358362,0.8327026488747261,0.6057217280620081,0.4713322018553061,0.7726913970007893,0.3502653525398029
227,Aratako/Beyonder-4x7B-random-lora,0.7124573378839592,0.8740290778729337,0.6477602556192956,0.7049250833848262,0.8216258879242304,0.6739954510993177
228,Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,0.697098976109215,0.8809002190798645,0.7102802019229597,0.6735070571592087,0.8105761641673243,0.5428354814253222
229,Aratako/Qwen1.5-MoE-2x7B,0.26023890784982934,0.25692093208524197,0.24237362774411492,0.4849554619485421,0.4790844514601421,0.0
230,Aratako/c4ai-command-r-v01-japanese-instruct,0.658703071672355,0.8562039434375621,0.6761084844138692,0.5100708052144302,0.8295185477505921,0.6004548900682335
231,ArianAskari/NeuralHermes-2.5-Mistral-7B,0.6467576791808873,0.842760406293567,0.637137590024912,0.5223229691481044,0.7797947908445146,0.5686125852918877
232,ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,0.6075085324232082,0.8367855008962358,0.594215766809571,0.5809745989468564,0.7632202052091555,0.016679302501895376
233,ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDRejected-SFTChosen-Zephyr-7b-beta,0.5895904436860068,0.7982473610834495,0.6014174915551592,0.5235673204188883,0.7324388318863457,0.19029567854435178
234,ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta,0.5955631399317406,0.8253335988846843,0.5959673608241354,0.5757997033411437,0.7490134175217048,0.014404852160727823
235,ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDRejected-SFTChosen-Zephyr-7b-beta,0.5930034129692833,0.813383788090022,0.6023488803188831,0.4975919881917549,0.755327545382794,0.05686125852918878
236,ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,0.5972696245733788,0.817167894841665,0.6046820434326228,0.5376745022515824,0.7466456195737963,0.12282031842304778
237,ArianAskari/SOLID_SFT-WoDPO-WoMixQ,0.5964163822525598,0.8168691495717986,0.6009985389534465,0.5524968462205945,0.7466456195737963,0.09476876421531463
238,ArtMindia/artmindia3k,0.5998293515358362,0.8299143596893049,0.6098949513104714,0.41606074298626,0.7679558011049724,0.310841546626232
239,Artples/L-MChat-7b,0.6561433447098977,0.8459470225054769,0.6543866817884072,0.5094067597488999,0.813733228097869,0.6944655041698256
240,Artples/L-MChat-Small,0.6160409556313993,0.7590121489743079,0.5741227474247758,0.4993863965343259,0.749802683504341,0.5898407884761183
241,Artples/M-LChat-7b,0.6800341296928327,0.857100179247162,0.6564501961858251,0.5541695248606323,0.8058405682715075,0.7361637604245641
242,Aryanne/MixSwap,0.6945392491467577,0.8695478988249351,0.6518261702625129,0.5655735895521685,0.8318863456985004,0.686125852918878
243,Aryanne/Open-StarLake-Swap-7B,0.705631399317406,0.8699462258514239,0.6511184012156099,0.575043355824835,0.8318863456985004,0.6952236542835482
244,Aryanne/TinyllamaMix-1.1B,0.3148464163822526,0.4838677554272057,0.2504966397802272,0.33447140360446537,0.584846093133386,0.01061410159211524
245,Aryanne/WestSenzu-Swap-7B,0.6834470989761092,0.8570005974905396,0.6414170950694834,0.5042828432807807,0.824782951854775,0.5261561789234268
246,Aryanne/Westest-7B,0.7218430034129694,0.8851822346146185,0.6442660765091852,0.6672312243823757,0.8658247829518547,0.6573161485974223
247,Aryanne/YarnLake-Swap-7B,0.652730375426621,0.8517227643895638,0.6478304756815974,0.490726463865428,0.8145224940805051,0.5519332827899924
248,Aryanne/ereb-test,0.40699658703071667,0.7104162517426807,0.28055723253041176,0.47395581482094956,0.6393054459352802,0.0
249,Aryanne/sheared-plus-westlake-50_75p,0.34044368600682595,0.5804620593507269,0.2623825141260535,0.42638955634632064,0.569060773480663,0.0
