,Model,Family,Instruct,date,#Params (B),Pretraining Data Size (T),FLOPs (1E21),IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,bbh_boolean_expressions,bbh_causal_judgement,bbh_date_understanding,bbh_disambiguation_qa,bbh_formal_fallacies,bbh_geometric_shapes,bbh_hyperbaton,bbh_logical_deduction_five_objects,bbh_logical_deduction_seven_objects,bbh_logical_deduction_three_objects,bbh_movie_recommendation,bbh_navigate,bbh_object_counting,bbh_penguins_in_a_table,bbh_reasoning_about_colored_objects,bbh_ruin_names,bbh_salient_translation_error_detection,bbh_snarks,bbh_sports_understanding,bbh_temporal_sequences,bbh_tracking_shuffled_objects_five_objects,bbh_tracking_shuffled_objects_seven_objects,bbh_tracking_shuffled_objects_three_objects,bbh_web_of_lies,gpqa_diamond,gpqa_extended,gpqa_main,math_algebra_hard,math_counting_and_prob_hard,math_geometry_hard,math_intermediate_algebra_hard,math_num_theory_hard,math_prealgebra_hard,math_precalculus_hard,musr_murder_mysteries,musr_object_placements,musr_team_allocation,XWinograd,Arena-Elo,MTBench,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,MMLU,ARC,HellaSwag,Winogrande,TruthfulQA,GSM8K,HumanEval,Family2
96,orca_mini_v3_70b,llama-2,True,2024-07-18,70.0,2.0,840.0,0.4,0.59,0.04,0.32,0.51,0.38,0.832,0.6470588235294118,0.592,0.776,0.644,0.452,0.688,0.504,0.464,0.74,0.84,0.66,0.468,0.4863013698630137,0.604,0.86,0.604,0.8089887640449438,0.84,0.696,0.136,0.144,0.308,0.484,0.2979797979797979,0.3205128205128205,0.3236607142857143,0.0390879478827361,0.040650406504065,0.0075757575757575,0.0035714285714285,0.0454545454545454,0.0932642487046632,0.0296296296296296,0.612,0.3515625,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orca_mini_v3_
97,orca_mini_v3_7b,llama-2,True,2023-09-13,7.0,2.0,84.0,0.28,0.41,0.0,0.25,0.5,0.21,0.712,0.6310160427807486,0.38,0.552,0.46,0.164,0.54,0.296,0.284,0.436,0.8,0.544,0.36,0.3561643835616438,0.316,0.304,0.3,0.5056179775280899,0.712,0.076,0.156,0.132,0.34,0.472,0.2626262626262626,0.2454212454212454,0.2410714285714285,0.003257328990228,0.0,0.0,0.0035714285714285,0.0064935064935064,0.005181347150259,0.0,0.572,0.38671875,0.536,,,,0.27,0.4814814814814814,0.506578947368421,0.54,0.6075471698113207,0.5486111111111112,0.34,0.4,0.29,0.4566473988439306,0.3039215686274509,0.57,0.4936170212765957,0.3245614035087719,0.4758620689655172,0.3121693121693121,0.2936507936507936,0.36,0.5548387096774193,0.3793103448275862,0.46,0.7151515151515152,0.696969696969697,0.772020725388601,0.5128205128205128,0.2777777777777778,0.5210084033613446,0.3311258278145695,0.7211009174311926,0.4351851851851852,0.7009803921568627,0.7468354430379747,0.5874439461883408,0.5954198473282443,0.6942148760330579,0.6388888888888888,0.5950920245398773,0.4285714285714285,0.7281553398058253,0.782051282051282,0.6,0.722860791826309,0.569364161849711,0.2726256983240223,0.5555555555555556,0.594855305466238,0.5802469135802469,0.3936170212765957,0.3950456323337679,0.5257352941176471,0.5,0.5636363636363636,0.6163265306122448,0.6517412935323383,0.73,0.4156626506024096,0.7134502923976608,0.5236999999999999,0.5690999999999999,0.7964,0.7426999999999999,0.5051,0.0713,,orca_mini_v3_
98,orca_mini_v7_72b,qwen2,True,2024-07-17,72.0,7.0,3024.0,0.59,0.68,0.26,0.39,0.51,0.56,0.872,0.6684491978609626,0.752,0.772,0.728,0.524,0.856,0.62,0.632,0.892,0.804,0.772,0.524,0.6712328767123288,0.82,0.904,0.64,0.8258426966292135,0.868,0.836,0.264,0.252,0.376,0.548,0.3787878787878788,0.3864468864468864,0.3861607142857143,0.4592833876221498,0.2357723577235772,0.1363636363636363,0.0714285714285714,0.2727272727272727,0.466321243523316,0.074074074074074,0.616,0.453125,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orca_mini_v7_
99,orca_mini_v7_7b,qwen2,True,2024-07-16,7.0,7.0,294.0,0.44,0.53,0.03,0.3,0.44,0.42,0.792,0.6684491978609626,0.556,0.612,0.6,0.468,0.672,0.412,0.372,0.672,0.572,0.704,0.392,0.5547945205479452,0.548,0.6,0.508,0.6685393258426966,0.772,0.48,0.176,0.12,0.236,0.504,0.2424242424242424,0.3113553113553113,0.3013392857142857,0.0423452768729641,0.016260162601626,0.0151515151515151,0.0035714285714285,0.0194805194805194,0.0725388601036269,0.0,0.504,0.3359375,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orca_mini_v7_
100,phi-1_5,phi,False,,1.3,0.15,1.1700000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5111127837745847,,,0.34,0.4518518518518518,0.4013157894736842,0.52,0.5018867924528302,0.3680555555555556,0.26,0.46,0.41,0.4046242774566474,0.2745098039215686,0.54,0.3659574468085106,0.2631578947368421,0.4827586206896552,0.3015873015873015,0.2619047619047619,0.3,0.4580645161290322,0.3300492610837438,0.47,0.4848484848484848,0.5202020202020202,0.5492227979274611,0.4205128205128205,0.2407407407407407,0.453781512605042,0.2781456953642384,0.5577981651376147,0.2824074074074074,0.4607843137254901,0.510548523206751,0.4887892376681614,0.465648854961832,0.6363636363636364,0.5277777777777778,0.50920245398773,0.3839285714285714,0.5825242718446602,0.7051282051282052,0.51,0.5044699872286079,0.5491329479768786,0.2480446927374301,0.5032679738562091,0.4823151125401929,0.4290123456790123,0.3120567375886525,0.3455019556714472,0.3382352941176471,0.4019607843137255,0.509090909090909,0.4938775510204081,0.6467661691542289,0.64,0.4096385542168674,0.4678362573099415,0.4388646778419788,0.5290102389078498,0.6379207329217288,0.7221783741120757,0.4088993856119402,0.1243366186504928,0.3414634146341463,phi-1_5
101,phi-2,phi,False,,2.7,1.4,22.680000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5266663910651852,,,0.29,0.4444444444444444,0.5855263157894737,0.56,0.6037735849056604,0.6666666666666666,0.4,0.41,0.38,0.5895953757225434,0.3725490196078431,0.74,0.5234042553191489,0.3859649122807017,0.5517241379310345,0.4603174603174603,0.3571428571428571,0.38,0.6709677419354839,0.4729064039408867,0.64,0.6484848484848484,0.7525252525252525,0.8082901554404145,0.5820512820512821,0.3296296296296296,0.6218487394957983,0.3841059602649007,0.7926605504587156,0.4722222222222222,0.6666666666666666,0.7426160337552743,0.6591928251121076,0.7022900763358778,0.7272727272727273,0.7314814814814815,0.7300613496932515,0.4821428571428571,0.7087378640776699,0.8247863247863247,0.64,0.6922094508301405,0.6647398843930635,0.2994413407821229,0.6209150326797386,0.6205787781350482,0.6203703703703703,0.4397163120567376,0.4367666232073012,0.4816176470588235,0.5637254901960784,0.6272727272727273,0.7183673469387755,0.8009950248756219,0.77,0.4698795180722891,0.695906432748538,0.5792026667108577,0.6100682593856656,0.7491535550687114,0.7348066298342542,0.4423687837225679,0.5496588324488249,0.4939024390243902,phi-2
102,pythia-1.4b,pythia,False,,1.4,0.3,2.5199999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5940628537455149,,,0.27,0.1925925925925926,0.1578947368421052,0.34,0.2490566037735849,0.2986111111111111,0.24,0.35,0.3,0.2080924855491329,0.2156862745098039,0.27,0.2765957446808511,0.219298245614035,0.3241379310344827,0.2592592592592592,0.238095238095238,0.34,0.2419354838709677,0.2364532019704433,0.33,0.2424242424242424,0.1666666666666666,0.2072538860103626,0.2384615384615384,0.2518518518518518,0.2058823529411764,0.271523178807947,0.2055045871559633,0.4166666666666667,0.2450980392156862,0.2489451476793249,0.3183856502242152,0.2290076335877862,0.256198347107438,0.2592592592592592,0.2453987730061349,0.2589285714285714,0.174757281553398,0.2692307692307692,0.26,0.2349936143039591,0.26878612716763,0.2379888268156424,0.261437908496732,0.2411575562700964,0.2407407407407407,0.2872340425531915,0.2496740547588005,0.2205882352941176,0.2549019607843137,0.2181818181818181,0.2081632653061224,0.2388059701492537,0.3,0.2590361445783132,0.3157894736842105,0.2555549665134659,0.3267918088737201,0.5495917147978491,0.5730071033938438,0.3865846445222244,0.0083396512509476,0.0426829268292682,pythia
103,pythia-12b,pythia,False,2023-07-19,12.0,0.25,18.0,0.25,0.32,0.01,0.25,0.36,0.11,0.668,0.5294117647058824,0.16,0.336,0.476,0.104,0.484,0.192,0.148,0.344,0.288,0.468,0.272,0.2260273972602739,0.172,0.284,0.22,0.4157303370786517,0.46,0.268,0.172,0.132,0.324,0.488,0.2525252525252525,0.2564102564102564,0.2321428571428571,0.006514657980456,0.024390243902439,0.0,0.0,0.0194805194805194,0.0155440414507772,0.0074074074074074,0.528,0.24609375,0.32,0.6824205147148661,,,0.24,0.3111111111111111,0.2697368421052631,0.21,0.2792452830188679,0.2777777777777778,0.24,0.29,0.31,0.2369942196531791,0.2156862745098039,0.38,0.2297872340425532,0.2280701754385964,0.2827586206896552,0.2592592592592592,0.2142857142857142,0.31,0.3193548387096774,0.270935960591133,0.27,0.1818181818181818,0.3484848484848485,0.2746113989637305,0.2512820512820513,0.2666666666666666,0.2436974789915966,0.2185430463576159,0.2605504587155963,0.3611111111111111,0.2745098039215686,0.2531645569620253,0.2914798206278027,0.2442748091603053,0.2892561983471074,0.2777777777777778,0.294478527607362,0.3571428571428571,0.2135922330097087,0.2606837606837607,0.21,0.2541507024265645,0.2774566473988439,0.241340782122905,0.2647058823529412,0.3118971061093247,0.2777777777777778,0.2553191489361702,0.2555410691003911,0.2022058823529411,0.2647058823529412,0.2,0.2571428571428571,0.3034825870646766,0.29,0.3192771084337349,0.2865497076023391,0.2676,0.39590000000000003,0.6881999999999999,0.6417,0.3185,0.0174,0.1158536585365853,pythia
104,pythia-160m,pythia,False,2023-07-19,0.16,0.25,0.24,0.18,0.3,0.0,0.26,0.42,0.11,0.44,0.5187165775401069,0.2,0.336,0.532,0.084,0.484,0.184,0.192,0.328,0.18,0.452,0.076,0.2054794520547945,0.108,0.216,0.144,0.5168539325842697,0.46,0.28,0.22,0.112,0.328,0.532,0.2575757575757575,0.2655677655677655,0.25,0.003257328990228,0.0,0.0,0.0,0.0064935064935064,0.005181347150259,0.0,0.508,0.2578125,0.488,0.5235998028121159,,,0.22,0.2518518518518518,0.1776315789473684,0.31,0.2037735849056604,0.2430555555555555,0.2,0.3,0.26,0.2369942196531791,0.2156862745098039,0.18,0.2680851063829787,0.2456140350877192,0.2482758620689655,0.2513227513227513,0.1984126984126984,0.18,0.3129032258064516,0.270935960591133,0.2,0.2484848484848484,0.2323232323232323,0.2435233160621761,0.2461538461538461,0.2518518518518518,0.2731092436974789,0.271523178807947,0.2238532110091743,0.4768518518518518,0.2598039215686274,0.2953586497890295,0.3094170403587444,0.2366412213740458,0.2231404958677686,0.2777777777777778,0.2085889570552147,0.1875,0.1941747572815534,0.1837606837606837,0.32,0.2528735632183908,0.2630057803468208,0.2770949720670391,0.2352941176470588,0.1897106109324758,0.2592592592592592,0.2801418439716312,0.2372881355932203,0.4485294117647059,0.2516339869281045,0.2545454545454545,0.2448979591836734,0.2437810945273631,0.26,0.180722891566265,0.2046783625730994,0.2495,0.2278,0.3034,0.5154,0.4426,0.0023,0.0,pythia
105,pythia-1b,pythia,False,,1.0,0.3,1.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560991660200979,,,0.23,0.237037037037037,0.1447368421052631,0.18,0.3018867924528302,0.2430555555555555,0.2,0.32,0.2,0.2601156069364161,0.1862745098039215,0.28,0.2765957446808511,0.1842105263157894,0.193103448275862,0.2433862433862433,0.246031746031746,0.25,0.267741935483871,0.2364532019704433,0.28,0.2363636363636363,0.2171717171717171,0.2124352331606217,0.2051282051282051,0.2518518518518518,0.1890756302521008,0.2317880794701986,0.2935779816513761,0.25,0.25,0.270042194092827,0.336322869955157,0.2366412213740458,0.256198347107438,0.287037037037037,0.2269938650306748,0.3035714285714285,0.1941747572815534,0.2777777777777778,0.23,0.2758620689655172,0.2630057803468208,0.241340782122905,0.2320261437908496,0.2668810289389067,0.2623456790123457,0.2411347517730496,0.2385919165580182,0.2610294117647059,0.284313725490196,0.2727272727272727,0.1469387755102041,0.2388059701492537,0.17,0.2771084337349397,0.2456140350877192,0.2427106456015119,0.2909556313993174,0.4965146385182235,0.5359116022099447,0.389393782096148,0.0113722517058377,0.0426829268292682,pythia
106,pythia-2.8b,pythia,False,2024-06-17,2.8,0.25,4.199999999999999,0.22,0.32,0.01,0.25,0.35,0.11,0.628,0.4438502673796791,0.192,0.34,0.456,0.088,0.484,0.236,0.144,0.344,0.276,0.5,0.264,0.1986301369863013,0.128,0.212,0.276,0.5393258426966292,0.5,0.284,0.156,0.168,0.34,0.54,0.2424242424242424,0.2600732600732601,0.2410714285714285,0.009771986970684,0.0,0.0,0.0035714285714285,0.0194805194805194,0.0103626943005181,0.0,0.516,0.26171875,0.268,0.6399890469310126,,,0.27,0.2962962962962963,0.2039473684210526,0.22,0.2679245283018868,0.2361111111111111,0.3,0.24,0.3,0.2369942196531791,0.1470588235294117,0.28,0.2808510638297872,0.219298245614035,0.2758620689655172,0.2645502645502645,0.2222222222222222,0.33,0.2483870967741935,0.2315270935960591,0.23,0.2848484848484848,0.2777777777777778,0.2694300518134715,0.3205128205128205,0.2629629629629629,0.2478991596638655,0.3178807947019867,0.2330275229357798,0.449074074074074,0.2156862745098039,0.2320675105485232,0.3497757847533632,0.2290076335877862,0.3471074380165289,0.2314814814814814,0.2699386503067484,0.2678571428571428,0.233009708737864,0.2435897435897435,0.24,0.280970625798212,0.2861271676300578,0.2256983240223463,0.2647058823529412,0.2765273311897106,0.2777777777777778,0.2553191489361702,0.258148631029987,0.4338235294117647,0.2745098039215686,0.3545454545454545,0.1959183673469387,0.2537313432835821,0.2,0.3072289156626506,0.2982456140350877,0.2678463743419206,0.3626279863481229,0.6065524795857399,0.6022099447513812,0.3555978234501585,0.0083396512509476,0.048780487804878,pythia
107,pythia-410m,pythia,False,2023-11-13,0.41,0.25,0.615,0.22,0.3,0.0,0.26,0.36,0.11,0.5,0.4545454545454545,0.196,0.312,0.5,0.1,0.472,0.22,0.152,0.344,0.28,0.58,0.072,0.2191780821917808,0.096,0.16,0.152,0.5617977528089888,0.46,0.26,0.184,0.152,0.328,0.512,0.2676767676767677,0.2619047619047619,0.2522321428571428,0.006514657980456,0.0,0.0,0.0,0.0064935064935064,0.0,0.0074074074074074,0.488,0.2734375,0.312,0.5363121645812539,,,0.25,0.2814814814814815,0.2171052631578947,0.27,0.2490566037735849,0.2777777777777778,0.42,0.33,0.34,0.2080924855491329,0.2450980392156862,0.2,0.2893617021276595,0.2280701754385964,0.2275862068965517,0.238095238095238,0.2936507936507936,0.17,0.2935483870967741,0.2610837438423645,0.31,0.2363636363636363,0.303030303030303,0.233160621761658,0.358974358974359,0.2629629629629629,0.2394957983193277,0.2913907284768212,0.326605504587156,0.4722222222222222,0.2696078431372549,0.2236286919831223,0.2511210762331838,0.2366412213740458,0.4049586776859504,0.2129629629629629,0.2822085889570552,0.2142857142857142,0.2621359223300971,0.2051282051282051,0.31,0.2579821200510855,0.2543352601156069,0.2446927374301676,0.2549019607843137,0.2443729903536977,0.2253086419753086,0.2446808510638297,0.241199478487614,0.4448529411764705,0.2777777777777778,0.209090909090909,0.4040816326530612,0.2338308457711442,0.25,0.2710843373493976,0.2748538011695906,0.2725,0.2619,0.40850000000000003,0.5312,0.4122,0.0068000000000000005,0.0121951219512195,pythia
108,pythia-6.9b,pythia,False,2024-06-15,6.9,0.25,10.350000000000001,0.23,0.32,0.01,0.25,0.36,0.11,0.68,0.5133689839572193,0.14,0.384,0.532,0.128,0.484,0.216,0.176,0.304,0.292,0.568,0.204,0.2191780821917808,0.148,0.244,0.16,0.5449438202247191,0.456,0.264,0.148,0.124,0.32,0.508,0.2676767676767677,0.2600732600732601,0.234375,0.009771986970684,0.008130081300813,0.0075757575757575,0.0035714285714285,0.0064935064935064,0.0155440414507772,0.0,0.504,0.28515625,0.288,0.6524704540748439,,,0.27,0.237037037037037,0.2368421052631578,0.2,0.2528301886792453,0.2569444444444444,0.18,0.35,0.31,0.1965317919075144,0.2058823529411764,0.24,0.2936170212765957,0.2280701754385964,0.3034482758620689,0.2407407407407407,0.2142857142857142,0.3,0.2387096774193548,0.3054187192118227,0.19,0.2363636363636363,0.2373737373737373,0.2538860103626943,0.2538461538461538,0.2666666666666666,0.2184873949579832,0.3112582781456953,0.218348623853211,0.449074074074074,0.2549019607843137,0.2278481012658227,0.3766816143497757,0.2366412213740458,0.3305785123966942,0.287037037037037,0.3128834355828221,0.3303571428571428,0.2815533980582524,0.2478632478632478,0.24,0.2899106002554278,0.2138728323699422,0.2435754189944134,0.2516339869281045,0.2861736334405145,0.2654320987654321,0.2801418439716312,0.2555410691003911,0.213235294117647,0.2777777777777778,0.2181818181818181,0.310204081632653,0.2388059701492537,0.28,0.3493975903614458,0.2982456140350877,0.2648094407333687,0.4129692832764505,0.6704839673371839,0.6408839779005525,0.3519458488266109,0.0166793025018953,0.0853658536585365,pythia
109,pythia-70m,pythia,False,,0.07,0.3,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5100999142283605,,,0.24,0.3555555555555555,0.1842105263157894,0.23,0.2339622641509434,0.2291666666666666,0.24,0.28,0.22,0.2023121387283237,0.2254901960784313,0.27,0.2893617021276595,0.2543859649122807,0.2068965517241379,0.2539682539682539,0.2063492063492063,0.17,0.3258064516129032,0.2807881773399014,0.22,0.2424242424242424,0.2222222222222222,0.3523316062176165,0.2846153846153846,0.2518518518518518,0.2310924369747899,0.2052980132450331,0.2403669724770642,0.4583333333333333,0.2598039215686274,0.2827004219409282,0.2556053811659193,0.2900763358778626,0.1983471074380165,0.2037037037037037,0.2515337423312883,0.1785714285714285,0.1844660194174757,0.2008547008547008,0.34,0.2375478927203065,0.2658959537572254,0.2670391061452514,0.2647058823529412,0.1961414790996784,0.2345679012345679,0.2588652482269503,0.2392438070404172,0.4154411764705882,0.2483660130718954,0.2181818181818181,0.2285714285714285,0.2487562189054726,0.32,0.1927710843373494,0.3099415204678362,0.2526050703920223,0.2107508532423208,0.2716590320653256,0.4964483030781373,0.4751438547560591,0.0,0.0,pythia
110,qwen-14b,qwen,False,,14.0,3.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7915085239623798,,,0.36,0.6074074074074074,0.7171052631578947,0.74,0.7094339622641509,0.7847222222222222,0.54,0.61,0.43,0.7109826589595376,0.4607843137254901,0.77,0.6212765957446809,0.4912280701754385,0.6551724137931034,0.5211640211640212,0.492063492063492,0.44,0.832258064516129,0.645320197044335,0.74,0.8303030303030303,0.8434343434343434,0.922279792746114,0.6615384615384615,0.374074074074074,0.7436974789915967,0.4172185430463576,0.8458715596330275,0.5601851851851852,0.8186274509803921,0.8227848101265823,0.7399103139013453,0.7862595419847328,0.8347107438016529,0.7870370370370371,0.7423312883435583,0.6160714285714286,0.7766990291262136,0.8888888888888888,0.74,0.8403575989782887,0.7630057803468208,0.423463687150838,0.7450980392156863,0.7202572347266881,0.7037037037037037,0.4645390070921986,0.4882659713168187,0.6213235294117647,0.6977124183006536,0.6636363636363637,0.7428571428571429,0.8656716417910447,0.86,0.536144578313253,0.8245614035087719,0.6770428032333679,0.5827645051194539,0.8398725353515236,0.7679558011049724,0.4943294460887689,0.5898407884761183,0.3536585365853658,qwen
111,qwen-72b,qwen,False,,72.0,3.0,1296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8287314130685335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7737375749942506,0.6518771331058021,0.8593905596494722,0.824782951854775,0.6019109516805667,0.7043214556482184,0.3719512195121951,qwen
112,qwen-7b,qwen,False,,7.0,2.4,100.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7345767284317054,,,0.31,0.5037037037037037,0.6447368421052632,0.68,0.630188679245283,0.6805555555555556,0.48,0.53,0.3,0.5838150289017341,0.3725490196078431,0.73,0.5319148936170213,0.3421052631578947,0.593103448275862,0.4285714285714285,0.4206349206349206,0.38,0.7193548387096774,0.5123152709359606,0.67,0.6666666666666666,0.7525252525252525,0.844559585492228,0.6102564102564103,0.3,0.5840336134453782,0.3642384105960264,0.781651376146789,0.4212962962962963,0.7401960784313726,0.759493670886076,0.6367713004484304,0.7022900763358778,0.7768595041322314,0.7407407407407407,0.6625766871165644,0.375,0.7766990291262136,0.8333333333333334,0.71,0.7841634738186463,0.6676300578034682,0.3150837988826815,0.6764705882352942,0.6752411575562701,0.6882716049382716,0.4290780141843971,0.4198174706649283,0.5735294117647058,0.5931372549019608,0.6545454545454545,0.7061224489795919,0.8059701492537313,0.8,0.4819277108433735,0.7543859649122807,0.5983879208119841,0.5136518771331058,0.7847042421828321,0.7269139700078927,0.4778593054989757,0.4495830174374526,0.3170731707317073,qwen
113,qwen1.5-0.5b,qwen1.5,False,2024-02-18,0.5,2.4,7.199999999999999,0.17,0.32,0.0,0.25,0.36,0.13,0.492,0.5187165775401069,0.344,0.432,0.472,0.104,0.516,0.176,0.148,0.308,0.564,0.472,0.104,0.1986301369863013,0.168,0.06,0.224,0.4831460674157303,0.48,0.132,0.212,0.14,0.308,0.512,0.2424242424242424,0.2692307692307692,0.2410714285714285,0.006514657980456,0.008130081300813,0.0,0.0,0.0064935064935064,0.0103626943005181,0.0,0.504,0.296875,0.284,0.5756214927787449,,,0.32,0.362962962962963,0.4144736842105263,0.43,0.3698113207547169,0.375,0.22,0.34,0.28,0.3468208092485549,0.2352941176470588,0.45,0.3574468085106383,0.2807017543859649,0.4275862068965517,0.2883597883597883,0.2936507936507936,0.37,0.4096774193548387,0.2857142857142857,0.41,0.4727272727272727,0.4545454545454545,0.466321243523316,0.358974358974359,0.2925925925925925,0.3697478991596639,0.1920529801324503,0.4311926605504587,0.2175925925925926,0.4166666666666667,0.5443037974683544,0.3991031390134529,0.4580152671755725,0.5454545454545454,0.4166666666666667,0.3435582822085889,0.3928571428571428,0.5436893203883495,0.5897435897435898,0.48,0.4725415070242657,0.4566473988439306,0.2491620111731843,0.4477124183006536,0.4083601286173633,0.3919753086419753,0.3297872340425531,0.3311603650586701,0.3161764705882353,0.3888888888888889,0.5,0.3877551020408163,0.5870646766169154,0.68,0.4156626506024096,0.4152046783625731,0.3935334081217579,0.3148464163822526,0.4905397331208923,0.5722178374112076,0.3829926844374736,0.1630022744503411,0.1158536585365853,qwen1.5
114,qwen1.5-0.5b-chat,qwen1.5,True,2024-03-04,0.5,2.4,7.199999999999999,0.18,0.32,0.0,0.27,0.38,0.12,0.46,0.5187165775401069,0.168,0.388,0.468,0.292,0.516,0.224,0.156,0.344,0.264,0.42,0.044,0.2123287671232876,0.176,0.28,0.224,0.5449438202247191,0.46,0.26,0.204,0.136,0.352,0.488,0.2474747474747475,0.271062271062271,0.2767857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.203125,0.436,,,,0.31,0.2592592592592592,0.2894736842105263,0.39,0.3471698113207547,0.2916666666666667,0.36,0.37,0.34,0.3121387283236994,0.2745098039215686,0.4,0.2425531914893617,0.219298245614035,0.4482758620689655,0.2486772486772486,0.2301587301587301,0.32,0.2935483870967741,0.2857142857142857,0.38,0.4787878787878787,0.3333333333333333,0.3160621761658031,0.2512820512820513,0.2481481481481481,0.3193277310924369,0.2913907284768212,0.3706422018348624,0.2638888888888889,0.4117647058823529,0.4514767932489451,0.2556053811659193,0.3816793893129771,0.4876033057851239,0.4166666666666667,0.294478527607362,0.3928571428571428,0.4660194174757281,0.4487179487179487,0.34,0.3384418901660281,0.4161849710982659,0.2368715083798882,0.3823529411764705,0.3762057877813505,0.345679012345679,0.2659574468085106,0.2933507170795306,0.2573529411764705,0.3316993464052287,0.3909090909090909,0.2,0.4925373134328358,0.44,0.3734939759036144,0.3040935672514619,0.3382,0.3055,0.4407,0.5462,0.42950000000000005,0.0766,,qwen1.5-chat
115,qwen1.5-1.8b,qwen1.5,False,2024-02-18,1.8,2.4,25.92,0.22,0.35,0.02,0.31,0.36,0.19,0.64,0.5294117647058824,0.448,0.368,0.464,0.024,0.592,0.252,0.144,0.38,0.6,0.424,0.24,0.3013698630136986,0.176,0.156,0.248,0.4719101123595505,0.592,0.14,0.176,0.12,0.36,0.496,0.2575757575757575,0.304029304029304,0.328125,0.0293159609120521,0.032520325203252,0.0,0.0321428571428571,0.0,0.0310880829015544,0.0148148148148148,0.516,0.26953125,0.296,0.643824662703727,,,0.32,0.4148148148148148,0.4802631578947368,0.52,0.5094339622641509,0.4166666666666667,0.31,0.44,0.41,0.4277456647398844,0.2941176470588235,0.57,0.4085106382978723,0.2894736842105263,0.4551724137931034,0.373015873015873,0.2222222222222222,0.37,0.5451612903225806,0.3645320197044335,0.45,0.593939393939394,0.5656565656565656,0.5854922279792746,0.4230769230769231,0.3185185185185185,0.3991596638655462,0.2582781456953642,0.5834862385321101,0.2592592592592592,0.4607843137254901,0.5949367088607594,0.5426008968609866,0.5801526717557252,0.7107438016528925,0.5462962962962963,0.4601226993865031,0.3035714285714285,0.6504854368932039,0.7649572649572649,0.54,0.6143039591315453,0.546242774566474,0.2424581005586592,0.6013071895424836,0.4887459807073955,0.4814814814814814,0.3439716312056737,0.3539765319426336,0.3970588235294117,0.4215686274509804,0.5727272727272728,0.5102040816326531,0.6218905472636815,0.73,0.4096385542168674,0.5555555555555556,0.4670838530175782,0.378839590443686,0.6142202748456482,0.6029992107340174,0.3942781424608406,0.335860500379075,0.1829268292682926,qwen1.5
